adservice,cartservice,checkoutservice,currencyservice,emailservice,frontend,paymentservice,productcatalogservice,recommendationservice,redis-cart,shippingservice
1,2,2,9,1,8,1,2,3,1,1
1,2,2,9,1,8,1,2,3,1,1
1,2,2,7,1,6,1,2,2,1,1
1,1,1,5,1,5,1,2,2,1,1
1,1,1,5,1,5,1,2,2,1,1
1,1,1,5,1,5,1,2,2,1,1
1,1,1,5,1,5,1,2,2,1,1
1,1,1,5,1,5,1,2,2,1,1
1,1,1,6,1,6,1,2,2,1,1
1,1,1,6,1,6,1,2,2,1,1
1,1,1,6,1,6,1,2,2,1,1
1,1,1,5,1,5,1,2,2,1,1
1,1,1,5,1,5,1,2,2,1,1
1,1,1,5,1,5,1,2,2,1,1
1,1,1,5,1,5,1,2,2,1,1
1,1,1,5,1,5,1,2,2,1,1
1,1,1,5,1,5,1,2,2,1,1
1,1,1,5,1,5,1,2,2,1,1
1,1,1,6,1,6,1,2,2,1,1
1,1,1,6,1,5,1,2,2,1,1
1,1,1,5,1,5,1,2,2,1,1
1,1,1,5,1,5,1,2,2,1,1
1,1,1,6,1,6,1,2,2,1,1
1,1,1,6,1,6,1,2,2,1,1
1,1,1,6,1,5,1,2,2,1,1
1,1,1,5,1,5,1,2,2,1,1
1,1,1,5,1,5,1,2,2,1,1
1,1,1,6,1,6,1,2,2,1,1
1,1,1,6,1,6,1,2,2,1,1
